City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cape Town,75,ZA,1604810116,93,-33.93,18.42,15.56,4.6
Punta Arenas,20,CL,1604810611,81,-53.15,-70.92,9.0,7.2
Ilulissat,8,GL,1604810683,43,69.22,-51.1,-10.0,5.1
Manokwari,99,ID,1604810735,76,-0.87,134.08,28.59,6.8
Ponta do Sol,20,PT,1604810687,77,32.67,-17.1,17.22,2.1
Kenema,10,SL,1604810735,98,7.88,-11.19,22.06,0.32
Saint-Pierre,20,RE,1604810662,65,-21.34,55.48,26.0,9.8
Mataura,0,NZ,1604810620,61,-46.19,168.86,12.78,5.36
Al Bardīyah,68,LY,1604810736,77,31.76,25.09,19.53,8.02
Malabang,38,PH,1604810737,73,7.59,124.07,28.44,2.13
Talnakh,75,RU,1604810737,92,69.49,88.4,-7.0,10.0
Alofi,9,NU,1604810737,74,-19.06,-169.92,26.0,6.2
Cabo San Lucas,5,MX,1604810738,69,22.89,-109.91,24.44,3.35
Saint George,90,US,1604810629,81,37.1,-113.58,7.22,2.1
San Patricio,20,US,1604810640,94,28.02,-97.52,22.22,4.1
Ushuaia,40,AR,1604810619,76,-54.8,-68.3,9.0,7.7
Harper,65,LR,1604810739,84,4.38,-7.72,25.58,2.0
Biak,100,ID,1604810740,53,-0.91,122.88,29.99,3.6
New Norfolk,0,AU,1604810673,41,-42.78,147.06,18.89,1.79
Airai,60,TL,1604810668,39,-8.93,125.41,27.71,2.28
Iqaluit,40,CA,1604810741,71,63.75,-68.51,-13.0,1.5
Ciudad Bolivar,83,VE,1604810741,86,8.12,-63.55,25.49,3.3
Saskylakh,6,RU,1604810648,89,71.92,114.08,-23.39,3.99
Matara,1,LK,1604810480,58,5.95,80.54,31.68,0.81
Laguna,1,US,1604810623,58,38.42,-121.42,12.0,2.1
Kapaa,90,US,1604810649,78,22.08,-159.32,27.0,6.2
Namatanai,50,PG,1604810743,70,-3.67,152.43,28.94,1.42
Bredasdorp,60,ZA,1604810666,77,-34.53,20.04,15.0,3.6
Koupéla,35,BF,1604810743,24,12.18,-0.35,22.73,3.29
East London,20,ZA,1604810657,68,-33.02,27.91,19.0,5.7
Iquitos,90,PE,1604810649,94,-3.75,-73.25,24.0,1.0
Hithadhoo,16,MV,1604810663,69,-0.6,73.08,29.32,3.33
Cidreira,74,BR,1604810745,85,-30.18,-50.21,19.91,6.2
Kargopol',29,RU,1604810745,83,61.51,38.95,2.12,5.45
Kahului,40,US,1604810637,65,20.89,-156.47,28.0,6.7
Ichinohe,4,JP,1604810746,56,40.21,141.3,13.14,5.89
Ushibukamachi,52,JP,1604810746,52,32.19,130.02,19.26,8.92
Ginda,0,IN,1604810747,26,30.69,78.49,18.39,2.14
Selty,100,RU,1604810747,95,57.31,52.13,1.07,6.21
Rocha,3,UY,1604810747,96,-34.48,-54.33,12.69,1.25
Castelu,0,RO,1604810748,100,44.25,28.33,5.0,3.1
Junín,0,AR,1604810568,39,-34.58,-60.94,16.67,3.92
Albany,75,US,1604810419,93,42.6,-73.97,10.56,1.43
Chemax,17,MX,1604810749,99,20.65,-87.93,21.96,1.47
Bathsheba,20,BB,1604810733,83,13.22,-59.52,27.0,8.2
Boyolangu,85,ID,1604810750,62,-8.12,111.89,29.91,3.08
Saint Paul Harbor,90,US,1604810674,81,57.79,-152.41,9.0,11.3
Jamestown,1,US,1604810629,54,42.1,-79.24,12.0,2.1
Lagoa,8,PT,1604810621,71,39.05,-27.98,16.13,6.94
Port Lincoln,45,AU,1604810684,44,-34.73,135.87,20.5,6.54
Tuatapere,0,NZ,1604810698,61,-46.13,167.68,12.78,5.36
Praia da Vitória,75,PT,1604810753,93,38.73,-27.07,13.33,5.04
Bilma,10,NE,1604810753,46,18.69,12.92,17.37,4.92
Zhuanghe,0,CN,1604810753,46,39.7,122.99,7.11,7.14
Mahébourg,75,MU,1604810497,78,-20.41,57.7,25.0,7.7
Lebu,13,CL,1604810638,89,-37.62,-73.65,10.69,8.18
Ixtapa,5,MX,1604810754,83,20.7,-105.2,25.56,0.99
Kavaratti,40,IN,1604810755,83,10.57,72.64,29.0,2.6
Barrow,90,US,1604810646,92,71.29,-156.79,-1.0,7.2
Corrente,3,BR,1604810755,93,-3.74,-43.34,23.17,1.05
Clyde River,75,CA,1604810623,49,70.47,-68.59,-16.0,4.1
Tari,85,NG,1604810756,24,12.41,4.49,21.2,3.9
Rikitea,100,PF,1604810616,74,-23.12,-134.97,22.14,8.53
George Town,20,MY,1604810576,74,5.41,100.34,31.0,2.1
San Cristobal,82,VE,1604810757,91,7.77,-72.22,19.03,0.43
Te Anau,0,NZ,1604810646,42,-45.42,167.72,12.32,3.79
Salalah,0,OM,1604810694,50,17.02,54.09,25.0,1.5
Souillac,75,MU,1604810682,78,-20.52,57.52,25.0,7.7
Kruisfontein,0,ZA,1604810664,73,-34.0,24.73,16.68,0.63
Northam,100,GB,1604810759,97,51.03,-4.22,13.33,2.68
Faanui,89,PF,1604810759,77,-16.48,-151.75,26.11,5.4
Los Llanos de Aridane,0,ES,1604810760,68,28.66,-17.92,18.0,3.1
Deputatsky,100,RU,1604810630,92,69.3,139.9,-21.11,1.69
Yamada,17,JP,1604810760,54,39.47,141.95,15.38,5.27
Hearst,100,CA,1604810761,98,49.68,-83.67,1.0,2.1
Yellowknife,90,CA,1604810637,84,62.46,-114.35,-13.0,1.5
Khani,90,GE,1604810681,93,41.96,42.96,11.0,4.6
Norman Wells,75,CA,1604810615,92,65.28,-126.83,-2.0,2.6
Sitka,1,US,1604810762,80,57.05,-135.33,1.0,2.1
Kupang,66,ID,1604810762,50,-10.17,123.58,32.22,3.33
Esperance,14,AU,1604810763,60,-33.87,121.9,24.0,5.7
Vaini,75,TO,1604810618,78,-21.2,-175.2,26.0,4.1
Upernavik,30,GL,1604810655,78,72.79,-56.15,-16.59,4.11
Puerto Ayora,19,EC,1604810632,81,-0.74,-90.35,20.0,2.68
Avarua,23,CK,1604810633,73,-21.21,-159.78,25.0,1.5
Maţāy,0,EG,1604810764,64,28.42,30.78,16.47,2.72
Tessalit,85,ML,1604810765,26,20.2,1.01,20.46,4.58
Hilo,90,US,1604810689,88,19.73,-155.09,24.0,2.1
Nome,90,US,1604810654,86,64.5,-165.41,-1.0,2.6
Orlik,3,RU,1604810766,88,52.52,99.83,-2.02,1.27
Nizhniy Odes,100,RU,1604810767,99,63.64,54.86,-0.91,2.49
Nikolskoye,90,RU,1604810657,81,59.7,30.79,8.0,5.0
Belfast,100,GB,1604810730,87,54.58,-5.93,11.67,1.0
Bluff,34,NZ,1604810650,61,-46.6,168.33,12.78,5.36
Le Port,0,RE,1604810768,48,-20.94,55.29,28.0,8.7
Castro,2,BR,1604810615,66,-24.79,-50.01,14.11,1.75
Constitución,0,CL,1604810685,71,-35.33,-72.42,13.86,3.4
Arman',96,RU,1604810769,86,59.7,150.17,-11.54,7.03
Atuona,46,PF,1604810631,77,-9.8,-139.03,25.2,7.41
Lorengau,80,PG,1604810627,61,-2.02,147.27,29.46,2.36
Neuquén,75,AR,1604810770,56,-38.95,-68.06,22.0,5.7
Province of Trapani,0,IT,1604810771,87,37.83,12.67,16.11,2.6
Bambous Virieux,75,MU,1604810771,78,-20.34,57.76,25.56,7.7
Zabid,97,YE,1604810771,57,14.2,43.32,27.03,0.84
Egvekinot,99,RU,1604810701,97,66.32,-179.17,-6.94,2.07
Hobart,20,AU,1604810638,48,-42.88,147.33,18.89,6.7
Istra,90,RU,1604810772,87,55.92,36.86,21.92,7.0
Walvis Bay,20,NA,1604810773,100,-22.96,14.51,15.0,2.1
Sept-Îles,0,CA,1604810773,68,50.2,-66.38,-3.0,2.1
Carnarvon,38,AU,1604810773,65,-24.87,113.63,25.0,7.7
Tuktoyaktuk,75,CA,1604810627,85,69.45,-133.04,-4.0,7.2
Hambantota,40,LK,1604810774,83,6.12,81.12,29.0,3.6
Buchanan,27,LR,1604810480,90,5.88,-10.05,24.87,1.83
Humboldt,90,US,1604810775,93,40.67,-123.92,10.0,2.6
Lobito,100,AO,1604810775,76,-12.35,13.55,24.02,1.08
Butte,90,US,1604810549,47,39.65,-121.57,13.0,3.1
Hong Kong,64,HK,1604810643,44,22.29,114.16,26.67,2.24
Cho Dok,90,VN,1604810776,59,10.7,105.12,30.08,5.85
Teluknaga,75,ID,1604810776,62,-6.1,106.64,33.89,3.6
Bar Harbor,1,US,1604810777,93,44.39,-68.2,14.44,0.61
Cherskiy,99,RU,1604810622,94,68.75,161.3,-16.19,2.62
Bay Roberts,77,CA,1604810778,79,47.6,-53.26,1.11,2.68
Port Alfred,0,ZA,1604810662,68,-33.59,26.89,19.76,3.77
Kindu,92,CD,1604810779,95,-2.95,25.95,21.8,0.41
Nhulunbuy,40,AU,1604810779,52,-12.23,136.77,33.0,4.1
Aswān,86,EG,1604810779,46,24.09,32.91,19.76,2.07
Ouadda,2,CF,1604810780,63,8.08,22.4,20.12,0.32
Tilichiki,0,RU,1604810649,93,60.47,166.1,-7.68,4.08
Meulaboh,80,ID,1604810636,66,4.14,96.13,29.75,2.25
Turukhansk,100,RU,1604810781,98,65.82,87.98,0.65,5.91
Minot,90,US,1604810781,82,48.23,-101.3,2.0,4.1
Tacuba,99,SV,1604810782,98,13.9,-89.93,20.43,1.7
Arraial do Cabo,95,BR,1604810624,86,-22.97,-42.03,22.16,3.93
San Jose,40,US,1604810516,62,37.34,-121.89,11.11,2.1
Copiapó,100,CL,1604810783,82,-27.37,-70.33,14.0,2.1
Flinders,69,AU,1604810783,64,-34.58,150.86,18.33,2.41
Raja,0,SS,1604810783,47,8.46,25.68,22.51,1.06
Navrongo,0,GH,1604810595,30,10.9,-1.09,23.66,2.38
Krasnosel'kup,100,RU,1604810784,98,65.7,82.47,0.83,7.01
Oltu,79,TR,1604810784,71,40.55,42.0,4.74,1.28
Suntar,0,RU,1604810785,85,62.14,117.63,-16.15,1.35
Klaksvík,90,FO,1604810785,87,62.23,-6.59,6.0,1.5
Paita,5,PE,1604810786,85,-5.09,-81.11,17.02,4.52
Pangody,100,RU,1604810786,99,65.85,74.49,-2.18,1.75
Vao,16,NC,1604810683,68,-22.67,167.48,23.31,6.51
Severo-Kuril'sk,62,RU,1604810666,79,50.68,156.12,2.38,2.38
Starkville,75,US,1604810787,93,33.45,-88.82,19.44,1.5
Trofors,92,NO,1604810788,80,65.53,13.41,5.0,5.7
Beringovskiy,99,RU,1604810788,95,63.05,179.32,-3.13,6.39
Grindavik,75,IS,1604810666,86,63.84,-22.43,3.0,3.6
Rundu,77,NA,1604810789,41,-17.93,19.77,25.69,2.54
Butaritari,84,KI,1604810624,68,3.07,172.79,27.73,3.53
Macon,1,US,1604810789,72,39.87,-88.97,16.0,4.1
Sibiti,91,CG,1604810790,100,-3.68,13.35,21.07,0.51
Pevek,94,RU,1604810790,96,69.7,170.31,-11.12,2.19
Pandan,90,PH,1604810790,71,14.05,124.17,29.21,2.7
Yar-Sale,88,RU,1604810791,98,66.83,70.83,-3.93,1.4
Robertsport,2,LR,1604810791,84,6.75,-11.37,26.36,3.41
Araouane,70,ML,1604810791,18,18.9,-3.53,24.62,5.21
Bethel,1,US,1604810672,93,41.37,-73.41,11.67,1.5
Goderich,0,CA,1604810792,58,43.75,-81.72,15.0,6.2
Noumea,90,NC,1604810792,61,-22.28,166.46,26.0,6.2
Prince George,1,CA,1604810793,68,53.92,-122.75,-2.78,4.6
Mariehamn,0,AX,1604810793,80,60.1,19.93,5.0,2.6
Luau,68,AO,1604810794,96,-10.71,22.22,19.28,1.66
Drovyanaya,58,RU,1604810794,48,51.58,113.03,-6.0,4.0
Dikson,99,RU,1604810634,91,73.51,80.55,-20.01,5.99
Mar del Plata,90,AR,1604810628,100,-38.0,-57.56,16.0,2.1
Khorinsk,96,RU,1604810795,90,52.17,109.77,-2.91,2.91
Kavieng,67,PG,1604810672,72,-2.57,150.8,28.68,1.08
Burevestnik,75,RU,1604810796,93,56.14,43.79,5.56,5.0
Broken Hill,0,AU,1604810676,19,-31.95,141.43,27.0,5.7
Poum,18,NC,1604810632,77,-20.23,164.02,24.76,9.19
Tarauacá,81,BR,1604810797,78,-8.16,-70.77,23.76,0.36
Leningradskiy,100,RU,1604810634,96,69.38,178.42,-7.94,3.7
Soyaux,90,FR,1604810798,93,45.65,0.2,13.89,2.6
Pita,0,GN,1604810798,53,10.83,-12.58,22.12,0.99
Qaanaaq,1,GL,1604810798,68,77.48,-69.36,-23.44,3.83
Freeport,1,US,1604810799,81,40.66,-73.58,15.0,3.03
Port Elizabeth,0,ZA,1604810491,88,-33.92,25.57,17.0,1.0
Sar-e Pul,56,AF,1604810659,17,35.83,66.17,19.99,1.04
Barranca,67,PE,1604810800,93,-10.75,-77.77,14.25,1.93
Sovetskiy,37,RU,1604810800,97,61.36,63.58,-0.92,2.34
Oranjemund,5,NA,1604810801,85,-28.55,16.43,15.97,0.78
Lapua,0,FI,1604810801,88,62.97,23.01,0.56,1.5
Price,20,US,1604810801,80,39.6,-110.81,5.0,3.6
Kaitangata,0,NZ,1604810802,43,-46.28,169.85,13.89,4.02
Altenburg,26,DE,1604810620,100,50.98,12.45,2.78,2.1
Saldanha,52,ZA,1604810619,93,-33.01,17.94,14.0,3.6
Hermanus,78,ZA,1604810653,91,-34.42,19.23,13.89,2.24
El Alto,16,PE,1604810803,89,-4.27,-81.21,16.64,7.27
San Quintín,1,MX,1604810636,67,30.48,-115.95,15.84,6.75
Havre-St-Pierre,1,CA,1604810694,79,50.23,-63.6,-5.0,2.6
Novo Aripuanã,34,BR,1604810804,93,-5.12,-60.38,23.86,0.64
Launceston,0,AU,1604810805,42,-41.45,147.17,19.0,5.1
Terra Nova,36,BR,1604810805,94,-12.37,-40.67,20.95,2.6
Torbay,90,CA,1604810635,74,47.67,-52.73,2.22,7.7
Adrar,0,MR,1604810806,21,20.5,-10.07,25.73,3.31
Vila Velha,75,BR,1604810642,94,-20.33,-40.29,23.0,1.5
Tarakan,99,ID,1604810807,78,3.3,117.63,27.17,1.49
Cerritos,20,US,1604810807,58,33.86,-118.06,14.44,5.86
Verkhnevilyuysk,65,RU,1604810807,89,63.45,120.32,-18.02,1.92
Boguchany,100,RU,1604810808,91,58.38,97.45,4.82,2.89
São João da Barra,95,BR,1604810808,92,-21.64,-41.05,22.98,2.82
Murbād,40,IN,1604810809,40,19.25,73.4,30.0,3.6
Tocopilla,4,CL,1604810809,58,-22.09,-70.2,15.75,0.67
Okakarara,16,NA,1604810809,23,-20.58,17.43,21.37,0.85
Rørvik,84,NO,1604810810,63,64.86,11.24,7.06,7.48
Nizhniy Kuranakh,100,RU,1604810810,90,58.84,125.49,-15.52,3.1
Half Moon Bay,90,US,1604810810,76,37.46,-122.43,12.22,9.3
Tiksi,65,RU,1604810758,92,71.69,128.87,-21.2,0.85
Busselton,76,AU,1604810811,52,-33.65,115.33,23.89,3.13
Zhigansk,44,RU,1604810811,88,66.77,123.37,-25.62,1.65
Ostrovnoy,96,RU,1604810577,86,68.05,39.51,3.04,10.47
Katsuura,100,JP,1604810688,63,35.13,140.3,22.22,1.34
Ahipara,30,NZ,1604810650,76,-35.17,173.17,16.02,5.9
Sujiatun,0,CN,1604810813,20,41.66,123.34,5.0,5.0
Davila,90,PH,1604810814,88,18.47,120.58,27.0,5.1
Saint-Philippe,20,RE,1604810814,65,-21.36,55.77,26.0,9.8
Hanyang,79,CN,1604810814,68,32.14,105.51,18.33,1.26
Nantucket,1,US,1604810815,87,41.28,-70.1,14.0,4.6
Kenai,90,US,1604810815,92,60.55,-151.26,-2.22,7.7
Bahía Blanca,0,AR,1604810815,57,-38.72,-62.27,17.36,5.66
Lavrentiya,9,RU,1604810816,95,65.58,-171.0,-2.65,2.29
College,90,US,1604810816,85,64.86,-147.8,-4.44,1.33
Chokurdakh,100,RU,1604810674,94,70.63,147.92,-17.61,1.2
Hede,0,CN,1604810817,44,33.77,120.25,17.99,5.86
Mirador,50,BR,1604810818,85,-6.37,-44.36,23.18,1.31
Makakilo City,1,US,1604810818,65,21.35,-158.09,27.0,2.1
Cabedelo,75,BR,1604810663,88,-6.98,-34.83,25.0,4.1
Ereymentau,88,KZ,1604810819,43,51.62,73.1,9.91,10.04
Dunyapur,0,PK,1604810819,46,29.8,71.72,21.0,3.1
Mazatlán,5,MX,1604810819,88,23.22,-106.42,27.22,1.7
Lana,37,IT,1604810820,84,46.61,11.16,6.11,1.17
Santa Cruz de la Sierra,0,BO,1604810820,73,-17.8,-63.17,25.0,1.0
Mossamedes,100,AO,1604810820,69,-15.2,12.15,20.47,2.09
Linda,1,US,1604810821,57,39.13,-121.55,11.11,4.6
Alice Springs,100,AU,1604810646,10,-23.7,133.88,35.0,5.1
Hasaki,75,JP,1604810694,68,35.73,140.83,22.22,3.1
Bonthe,91,SL,1604810822,87,7.53,-12.51,25.77,1.49
Bengkulu,84,ID,1604810822,67,-3.8,102.27,29.39,4.16
Nur-Sultan,40,KZ,1604810810,39,51.18,71.45,8.0,7.0
Longyearbyen,20,SJ,1604810661,80,78.22,15.64,-1.0,1.0
Povenets,0,RU,1604810824,80,62.85,34.83,2.39,6.37
Kamenka,6,RU,1604810559,94,51.32,42.77,2.22,5.46
Ayr,20,GB,1604810824,87,55.46,-4.63,7.0,4.71
Fort Nelson,20,CA,1604810825,92,58.81,-122.7,-15.0,0.66
Camacha,20,PT,1604810825,72,33.08,-16.33,19.0,4.6
Abu Dhabi,0,AE,1604810819,61,24.47,54.37,27.0,4.1
Kysyl-Syr,82,RU,1604810826,88,63.9,122.76,-20.62,2.34
Ambon City,78,ID,1604810663,62,-3.7,128.18,28.92,4.35
Dingle,36,PH,1604810826,68,11.0,122.67,29.17,2.06
Puerto Gaitán,99,CO,1604810827,85,4.31,-72.08,25.6,0.42
Ancud,28,CL,1604810827,71,-41.87,-73.82,11.11,7.7
Mount Gambier,0,AU,1604810827,40,-37.83,140.77,22.0,3.1
Tasiilaq,98,GL,1604810647,88,65.61,-37.64,-7.03,3.26
Pāsighāt,0,IN,1604810828,36,28.07,95.33,27.12,1.42
Iberia,90,US,1604810828,65,29.95,-91.75,26.0,3.1
Shimoda,75,JP,1604810829,64,34.67,138.95,21.0,1.5
Ribeira Grande,45,PT,1604810697,67,38.52,-28.7,16.27,5.55
Khandyga,98,RU,1604810830,87,62.67,135.6,-20.76,0.34
Loa Janan,99,ID,1604810830,63,-0.58,117.09,31.51,1.14
Kasongo-Lunda,99,CD,1604810831,94,-6.47,16.82,21.64,0.19
Havøysund,100,NO,1604810831,86,71.0,24.66,1.0,19.5
Yarke Pole,55,UA,1604810832,85,45.61,34.32,8.52,0.7
Ketchikan,1,US,1604810832,80,55.34,-131.65,3.0,5.1
Newtownards,100,GB,1604810832,87,54.59,-5.69,11.67,1.0
Mackay,75,AU,1604810833,65,-21.15,149.2,26.0,7.7
Kaseda-shirakame,75,JP,1604810833,63,31.42,130.32,17.0,8.2
Dzidzantun,4,MX,1604810833,96,21.25,-89.05,23.64,1.64
Port Hedland,0,AU,1604810834,25,-20.32,118.57,36.0,7.2
Salinas,90,US,1604810834,66,36.68,-121.66,13.0,3.6
Mugur-Aksy,0,RU,1604810834,89,50.35,90.5,-0.44,2.65
Nabire,56,ID,1604810835,70,-3.37,135.48,29.64,2.43
Semey,0,KZ,1604810835,42,50.41,80.23,8.0,11.0
Acton,61,GB,1604810836,100,51.51,-0.28,10.56,1.5
Bayonet Point,100,US,1604810836,77,28.33,-82.68,23.89,7.11
Guerrero Negro,12,MX,1604810836,69,27.98,-114.06,17.03,6.2
Santa Barbara,40,US,1604810539,81,34.73,-120.03,8.33,0.9
La Rioja,63,AR,1604810837,35,-29.41,-66.85,23.43,3.22
Samarkand,100,UZ,1604810109,26,39.65,66.96,15.0,2.1
